Ethnic,Year,Incidence of poverty 
Bumiputera,2002,7.3
Chinese,2002,1.5
Indians,2002,1.9
Others,2002,14.3
Bumiputera,2004,8.3
Chinese,2004,0.6
Indians,2004,2.9
Others,2004,6.9
Bumiputera,2007,5.3
Chinese,2007,0.6
Indians,2007,2.6
Others,2007,10.1
Bumiputera,2009,5.3
Chinese,2009,0.6
Indians,2009,2.5
Others,2009,6.7
Bumiputera,2012,2.2
Chinese,2012,0.3
Indians,2012,1.8
Others,2012,1.5
Bumiputera,2014,0.8
Chinese,2014,0.1
Indians,2014,0.6
Others,2014,0.9
Bumiputera,2016,0.5
Chinese,2016,0.1
Indians,2016,0.1
Others,2016,1.5
Bumiputera,2016r,9.7
Chinese,2016r,2.2
Indians,2016r,5.5
Others,2016r,20.5
Bumiputera,2019,7.2
Chinese,2019,1.4
Indians,2019,4.8
Others,2019,13.5
