Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
MYS,2021,SI.DST.50MD,16.5
MYS,2018,SI.DST.50MD,17
MYS,2015,SI.DST.50MD,16.4
MYS,2013,SI.DST.50MD,15.9
MYS,2011,SI.DST.50MD,18.5
MYS,2008,SI.DST.50MD,20.1
MYS,2006,SI.DST.50MD,19
MYS,2003,SI.DST.50MD,20
MYS,1997,SI.DST.50MD,21.1
MYS,1995,SI.DST.50MD,20.8
MYS,1992,SI.DST.50MD,20.4
MYS,1989,SI.DST.50MD,18.6
MYS,1987,SI.DST.50MD,19.5
MYS,1984,SI.DST.50MD,20.2
MYS,2021,SI.POV.DDAY,0
MYS,2018,SI.POV.DDAY,0
MYS,2015,SI.POV.DDAY,0.1
MYS,2013,SI.POV.DDAY,0.1
MYS,2011,SI.POV.DDAY,0.4
MYS,2008,SI.POV.DDAY,1.5
MYS,2006,SI.POV.DDAY,1.7
MYS,2003,SI.POV.DDAY,3.2
MYS,1997,SI.POV.DDAY,1.7
MYS,1995,SI.POV.DDAY,5.2
MYS,1992,SI.POV.DDAY,5
MYS,1989,SI.POV.DDAY,4.9
MYS,1987,SI.POV.DDAY,5.9
MYS,1984,SI.POV.DDAY,6.7
MYS,2021,SI.POV.GAPS,0
MYS,2018,SI.POV.GAPS,0
MYS,2015,SI.POV.GAPS,0
MYS,2013,SI.POV.GAPS,0
MYS,2011,SI.POV.GAPS,0.1
MYS,2008,SI.POV.GAPS,0.3
MYS,2006,SI.POV.GAPS,0.4
MYS,2003,SI.POV.GAPS,0.7
MYS,1997,SI.POV.GAPS,0.1
MYS,1995,SI.POV.GAPS,0.7
MYS,1992,SI.POV.GAPS,0.6
MYS,1989,SI.POV.GAPS,0.5
MYS,1987,SI.POV.GAPS,0.7
MYS,1984,SI.POV.GAPS,1
